0,1,2,3,4,5
Operating leases:,,,,,
Operating lease right-of-use assets,$,"4,180",,$,"2,563"
,,,,,
Accrued liabilities and other,$,672,,$,485
Other long-term liabilities,"3,671",,,"2,164",
Total operating lease liabilities,$,"4,343",,$,"2,649"
,,,,,
Finance leases:,,,,,
"Solar energy systems, net",$,23,,$,25
"Property, plant and equipment, net",601,,,"1,094",
Total finance lease assets,$,624,,$,"1,119"
,,,,,
Current portion of long-term debt and finance leases,$,398,,$,486
"Long-term debt and finance leases, net of current portion",175,,,568,
Total finance lease liabilities,$,573,,$,"1,054"
