0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Cost of revenues,,,,,,,,,,,,,,,,,,,,,,,,
Automotive sales,,$,"65,121",,,$,"49,599",,,$,"32,415",,,$,"15,522",,31,%,,$,"17,184",,53,%
Automotive leasing,,"1,268",,,,"1,509",,,,978,,,,(241),,,(16),%,,531,,,54,%
Total automotive cost of revenues,,"66,389",,,,"51,108",,,,"33,393",,,,"15,281",,,30,%,,"17,715",,,53,%
Services and other,,"7,830",,,,"5,880",,,,"3,906",,,,"1,950",,,33,%,,"1,974",,,51,%
"Total automotive & services and other
segment cost of revenues",,"74,219",,,,"56,988",,,,"37,299",,,,"17,231",,,30,%,,"19,689",,,53,%
Energy generation and storage segment,,"4,894",,,,"3,621",,,,"2,918",,,,"1,273",,,35,%,,703,,,24,%
Total cost of revenues,,$,"79,113",,,$,"60,609",,,$,"40,217",,,$,"18,504",,31,%,,$,"20,392",,51,%
,,,,,,,,,,,,,,,,,,,,,,,,
Gross profit total automotive,,$,"16,030",,,$,"20,354",,,$,"13,839",,,,,,,,,,,,,
Gross margin total automotive,,19.4,,%,,28.5,,%,,29.3,,%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Gross profit total automotive & services
and other segment",,$,"16,519",,,$,"20,565",,,$,"13,735",,,,,,,,,,,,,
"Gross margin total automotive & services
and other segment",,18.2,,%,,26.5,,%,,26.9,,%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Gross profit energy generation and storage
segment",,$,"1,141",,,$,288,,,$,(129),,,,,,,,,,,,,
"Gross margin energy generation and storage
segment",,18.9,,%,,7.4,,%,,(4.6),,%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total gross profit,,$,"17,660",,,$,"20,853",,,$,"13,606",,,,,,,,,,,,,
Total gross margin,,18.2,,%,,25.6,,%,,25.3,,%,,,,,,,,,,,,
